V1	V(N002,N003)	I(D1)
-7.699999999999996e-01	-7.699995e-01	-2.520770e-09
-7.599999999999998e-01	-7.599995e-01	-2.520760e-09
-7.500000000000000e-01	-7.499995e-01	-2.520750e-09
-7.400000000000002e-01	-7.399995e-01	-2.520740e-09
-7.299999999999995e-01	-7.299995e-01	-2.520730e-09
-7.199999999999998e-01	-7.199995e-01	-2.520720e-09
-7.100000000000000e-01	-7.099995e-01	-2.520710e-09
-7.000000000000002e-01	-6.999995e-01	-2.520699e-09
-6.899999999999995e-01	-6.899995e-01	-2.520689e-09
-6.799999999999997e-01	-6.799995e-01	-2.520679e-09
-6.699999999999999e-01	-6.699995e-01	-2.520669e-09
-6.600000000000001e-01	-6.599995e-01	-2.520659e-09
-6.499999999999995e-01	-6.499995e-01	-2.520649e-09
-6.399999999999997e-01	-6.399995e-01	-2.520638e-09
-6.299999999999999e-01	-6.299995e-01	-2.520628e-09
-6.200000000000001e-01	-6.199995e-01	-2.520617e-09
-6.100000000000003e-01	-6.099995e-01	-2.520606e-09
-5.999999999999996e-01	-5.999995e-01	-2.520596e-09
-5.899999999999999e-01	-5.899995e-01	-2.520584e-09
-5.800000000000001e-01	-5.799995e-01	-2.520573e-09
-5.700000000000003e-01	-5.699995e-01	-2.520561e-09
-5.599999999999996e-01	-5.599995e-01	-2.520549e-09
-5.499999999999998e-01	-5.499995e-01	-2.520536e-09
-5.400000000000000e-01	-5.399995e-01	-2.520523e-09
-5.300000000000002e-01	-5.299995e-01	-2.520509e-09
-5.199999999999996e-01	-5.199995e-01	-2.520494e-09
-5.099999999999998e-01	-5.099995e-01	-2.520477e-09
-5.000000000000000e-01	-4.999995e-01	-2.520459e-09
-4.900000000000002e-01	-4.899995e-01	-2.520439e-09
-4.799999999999995e-01	-4.799995e-01	-2.520417e-09
-4.699999999999998e-01	-4.699995e-01	-2.520391e-09
-4.600000000000000e-01	-4.599995e-01	-2.520362e-09
-4.500000000000002e-01	-4.499995e-01	-2.520327e-09
-4.399999999999995e-01	-4.399995e-01	-2.520287e-09
-4.299999999999997e-01	-4.299995e-01	-2.520239e-09
-4.199999999999999e-01	-4.199995e-01	-2.520182e-09
-4.100000000000001e-01	-4.099995e-01	-2.520113e-09
-3.999999999999995e-01	-3.999995e-01	-2.520030e-09
-3.899999999999997e-01	-3.899995e-01	-2.519929e-09
-3.799999999999999e-01	-3.799995e-01	-2.519805e-09
